label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
baseline,baseline,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.12737656277324128,9.287440317700943,1.4913584999013962,30.0,0.0,8.3385,5.677133560180664,4.895063406621209,5.527246761241946,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,1.4965137535196515,17.77346760029708,12.226532399702918,3.924000000000003,0.0,4.92810249338815,5.529156961112872,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,1.5,12.5,True,,1.2146989160911073,8.359683304687305,1.4978341553493797,30.0,0.0,8.3385,6.274269104003906,5.982298022320891,4.541629174900243,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.5,12.5,False,vehicle.ue4.audi.tt,0.0,0.0,1.5001870955425671,20.78264135038605,9.21735864961395,3.924000000000003,0.0,4.922472001971764,4.542613936001572,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,1.5107250217146735,4.938377924045225,1.558501907856058,30.0,0.0,8.3385,8.07876968383789,6.27849197412271,3.553040417315222,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5556423846254275,22.251260737266104,7.748739262733896,3.924000000000003,0.0,4.906608638545983,3.5536331835203545,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,1.730516606536093,3.502564285803724,1.555509886909128,30.0,0.0,3.335400049701338,9.959571838378906,6.498367482390585,2.9208720157525128,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5568011846642291,23.030408738648983,6.969591261351017,3.924000000000003,0.0,4.898860932119428,2.921264935779513,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.463429358931834,32.86637118689079,7.133628813109211,8.3385,0.0,4.906415428690845,6.585243016700176,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.4625655724835638,23.458496655187854,16.541503344812146,3.9239999999999853,0.0,4.919025429714253,6.587173239442366,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,8.92490351418854,1.4978989383190238,37.41658734701361,2.5834126529863894,8.338500000000018,0.0,4.894690617894768,5.610379576220253,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,1.4979309987928373,26.110008614152303,13.889991385847697,3.924000000000003,0.0,4.9055557769639435,5.610950213515961,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,0.9787410214319259,6.835319143198157,1.5352075693094698,40.0,0.0,8.3385,12.093549728393555,5.746363019271489,4.646139043398756,8.3385,True,AVOIDED
baseline,baseline,0,40.0,40.0,0.4,2.0,22.22222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,1.5346654269310267,26.964320445550694,13.035679554449306,3.924000000000003,0.0,4.939426449615423,4.6472998193919,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,2.5,27.77777777777778,True,,1.4725434958939632,5.219126710515103,1.517171235020837,40.0,0.0,8.3385,13.846500396728516,6.240394371748455,3.970144486766125,8.3385,True,AVOIDED
baseline,baseline,0,40.0,40.0,0.4,2.5,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.5170054847351226,27.7373532942963,12.262646705703698,3.924000000000003,0.0,4.91310166039766,3.9704487614236386,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.5396789646693683,36.371841164407755,13.628158835592249,8.338500000000018,0.0,4.933880086112321,7.339271753267539,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.4,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.5414885258865976,26.078885444881553,23.921114555118447,3.9239999999999853,0.0,4.899126578404428,7.337281362407446,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,1.5,20.833333333333336,True,,9.273187678483042,3.400298894716668,1.122278003140841,50.0,0.0,3.335400049701338,27.218982696533203,14.041038554337534,6.020185602328554,8.3385,True,AVOIDED
baseline,baseline,0,50.0,50.0,0.4,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5369289512874023,30.446771582148187,19.553228417851813,3.9239999999999853,0.0,4.899681247845509,6.603225939597002,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.5387210192923593,42.83421272808645,7.165787271913549,8.3385,0.0,4.91748862549032,5.759141036102191,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.4,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.5380030540665015,31.43132428664935,18.56867571335065,3.9239999999999853,0.0,4.918584833502005,5.759328130792308,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,2.5,34.72222222222222,True,,0.1683500967284015,6.567985614938648,1.5828040117239706,50.0,0.0,8.3385,19.157581329345703,4.9359530090479655,4.923026994393354,8.3385,True,AVOIDED
baseline,baseline,0,50.0,50.0,0.4,2.5,34.72222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,1.5819599028718807,31.970880585481353,18.029119414518647,3.9239999999999853,0.0,4.936582053937945,4.923476883813943,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.85,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5414337970136753,38.1851233173585,21.814876682641493,8.338499999999982,0.0,4.899555210549338,8.178634435944101,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.4,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5426327367458859,30.715187954248602,29.284812045751398,3.9239999999999853,0.0,4.916126253274321,8.171760926367462,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.85,1.5,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5179003642955156,44.11457368289726,15.885426317102741,8.338499999999982,0.0,4.96635080334963,7.723672276625629,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.4,1.5,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5179303995262177,35.65139792928109,24.348602070718908,3.9239999999999853,0.0,4.990619807087106,7.724693973202227,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.85,2.0,33.333333333333336,False,,0.0,0.0,1.5878646170813733,60.0,0.0,8.338499999999982,0.0,8.24083328394134,6.755292853330584,8.3385,True,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.4,2.0,33.333333333333336,False,,0.0,0.0,1.5876596103857359,60.0,0.0,3.9239999999999853,0.0,8.101230621449048,6.755814378925434,3.9240000000000004,True,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.85,2.5,41.66666666666667,False,,0.0,0.0,1.5878978870973606,60.0,0.0,3.3354000497013203,0.0,16.25029754815325,6.002032820303024,8.3385,True,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.4,2.5,41.66666666666667,False,,0.0,0.0,1.5876460410358477,60.0,0.0,1.5696000233888796,0.0,16.487026217557965,6.002366512836536,3.9240000000000004,True,NO BRAKE / passed
proposed,proposed,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.12737656277324128,9.287440317700943,1.4913584999013962,30.0,0.0,8.3385,5.677133560180664,4.895063406621209,5.527246761241946,8.3385,True,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,1.4965137535196515,19.782304558389427,10.217695441610571,3.924000000000003,0.0,4.898994453221884,5.529156961112872,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,30.0,30.0,0.85,1.5,12.5,True,,1.2146989160911073,8.359683304687305,1.4978341553493797,30.0,0.0,8.3385,6.274269104003906,5.982298022320891,4.541629174900243,8.3385,True,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,1.5,12.5,False,vehicle.ue4.audi.tt,0.0,0.0,1.6806460601179907,23.38853205173725,6.6114679482627485,3.924000000000003,0.0,4.90334511157686,4.302019118095181,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,1.5107250217146735,4.938377924045225,1.558501907856058,30.0,0.0,8.3385,8.07876968383789,6.27849197412271,3.553040417315222,8.3385,True,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,2.0,16.666666666666668,True,,0.3628559120931305,4.0200385010662805,1.7045799907018522,30.0,0.0,3.924000000000003,9.638933181762695,5.130706787947623,3.406237288102827,3.9240000000000004,True,AVOIDED
proposed,proposed,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,1.730516606536093,3.502564285803724,1.555509886909128,30.0,0.0,3.335400049701338,9.959571838378906,6.498367482390585,2.9208720157525128,8.3385,True,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,2.5,20.833333333333336,True,,2.227457136795225,4.107618692874129,1.6726036807602376,30.0,0.0,3.924000000000003,9.874568939208984,6.995166869044345,2.8207196643833763,3.9240000000000004,True,AVOIDED
proposed,proposed,0,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.463429358931834,32.86637118689079,7.133628813109211,8.3385,0.0,4.906415428690845,6.585243016700176,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.6890733126384643,25.553071265360295,14.446928734639707,3.924000000000003,0.0,4.911443727228645,6.179789901881997,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
