label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
baseline,baseline,0,30.0,0.85,20.0,20.0,True,,3.9326650882441907,3.501718372541213,1.589240310269733,30.0,0.0,3.335400049701338,9.961448669433594,7.606969275542012,2.203696841912894,8.3385,True,AVOIDED
baseline,baseline,0,30.0,0.85,25.0,20.0,True,,1.4732212832962626,4.331886701944831,1.1535649608842213,30.0,0.0,8.3385,8.699321746826172,5.147472094913993,3.3316057713605907,8.3385,True,AVOIDED
baseline,baseline,0,30.0,0.85,30.0,20.0,True,,3.1056197352822723,3.501718372541213,1.5791092051880642,30.0,0.0,3.335400049701338,9.961444854736328,6.779923922580093,2.6176888670134737,8.3385,True,AVOIDED
baseline,baseline,0,30.0,0.85,35.0,20.0,True,,3.106171173581699,3.5020199028370245,1.5775132192311272,30.0,0.0,3.335400049701338,9.960845947265625,6.78047536087952,2.6176375743156006,8.3385,True,AVOIDED
baseline,baseline,0,30.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.589240310269733,24.636462566487808,5.363537433512194,3.924000000000003,0.0,3.8100496399835984,2.203696841912894,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1512772106208735,22.287355414566598,7.7126445854334005,3.924000000000003,0.0,3.820720847426884,3.332585274441278,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5791092051880642,23.97842874852749,6.021571251472508,3.924000000000003,0.0,3.8213329266965896,2.6176888670134737,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5775132192311272,23.982824264489302,6.017175735510697,3.924000000000003,0.0,3.8216384507647874,2.6176375743156006,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,0.85,20.0,20.0,True,,1.4112985349541418,6.547570622823611,1.2511492783422866,40.0,0.0,8.3385,12.330005645751953,5.0853593058364766,3.961490876976411,8.3385,True,AVOIDED
baseline,baseline,0,40.0,0.85,25.0,20.0,True,,1.4176998844259536,3.76538043473354,1.5806811107489096,40.0,0.0,8.3385,16.740442276000977,5.091802032137474,3.1546168343696994,8.3385,True,AVOIDED
baseline,baseline,0,40.0,0.85,30.0,20.0,True,,0.7296843913079281,7.866816028342706,1.0491368030451966,40.0,0.0,8.338500000000018,11.355693817138672,4.403767487520606,5.008331380756813,8.3385,True,AVOIDED
baseline,baseline,0,40.0,0.85,35.0,20.0,True,,1.5823564393882137,4.037112762822045,1.5394874871753652,40.0,0.0,8.3385,16.023054122924805,5.256443362897178,3.448934301588219,8.3385,True,AVOIDED
