label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,result_txt
baseline,baseline,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.6712913828119929,8.359689398119565,1.5088799646867508,30.0,0.0,8.3385,6.274269104003906,5.438911469611671,4.811416715652392,8.3385,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,1.514106292714307,17.188483998645236,12.811516001354764,3.924000000000003,0.0,4.928947466959329,4.814026895771882,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,1.5,12.5,True,,0.9792502074693052,6.895581435898052,1.474052343947086,30.0,0.0,8.3385,6.82330322265625,5.747101083323797,4.40442254770468,8.3385,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.5,12.5,False,vehicle.ue4.audi.tt,0.0,0.0,1.4761827343306624,20.899391339903204,9.100608660096798,3.924000000000003,0.0,4.910390856645532,4.406167552935938,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,1.5486813843112897,5.107329718194639,1.5810332343918112,30.0,0.0,8.3385,7.940647125244141,6.316356784332467,3.5988749606048316,8.3385,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5826533944358787,22.33318035230323,7.6668196476967685,3.924000000000003,0.0,4.926521303257393,3.599983356972609,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,0.8010883827468183,3.501718372541213,1.5035631538780867,30.0,0.0,3.335400049701338,9.961446762084961,5.5689392586013104,3.1712650949832226,8.3385,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5009084432581237,22.917538227059165,7.082461772940835,3.924000000000003,0.0,4.897323705812872,3.1721177501554467,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.500388805933744,35.924029243253415,4.075970756746586,8.3385,0.0,4.892276174321529,5.669209878360127,8.3385,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.5008205994875503,20.829125478154644,19.170874521845356,3.924000000000003,0.0,4.9283752631173385,5.671003690835817,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,7.888407590652669,1.4955192880972161,38.05351997810984,1.9464800218901612,8.338500000000018,0.0,4.893519816577375,5.363921155121329,8.3385,COLLISION with vehicle.ue4.audi.tt
