pass_type,frame_index,timestamp,ego_x,ego_y,ego_yaw,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area_px,img_width,img_height
background,0,0.0,3.02,-8.7,-90,2,car,0.7879,0.0,537.59,205.01,718.43,37074.3,1280,720
background,1,0.15,3.02,-9.95,-90,2,car,0.4604,295.57,502.55,401.23,577.7,7941.2,1280,720
background,2,0.3,3.02,-11.2,-90,2,car,0.7423,260.37,506.66,386.74,589.46,10463.6,1280,720
background,2,0.3,3.02,-11.2,-90,2,car,0.6463,370.96,478.75,460.51,532.79,4838.7,1280,720
background,3,0.45,3.02,-12.45,-90,2,car,0.8257,212.81,511.8,364.63,603.25,13884.4,1280,720
background,3,0.45,3.02,-12.45,-90,7,truck,0.5417,0.27,526.1,235.31,716.24,44689.7,1280,720
background,3,0.45,3.02,-12.45,-90,2,car,0.4594,356.07,478.98,449.55,536.57,5383.3,1280,720
background,4,0.6,3.02,-13.7,-90,2,car,0.8341,152.8,516.64,339.63,619.7,19255.1,1280,720
background,4,0.6,3.02,-13.7,-90,2,car,0.6607,336.18,481.89,435.67,543.37,6116.3,1280,720
background,5,0.75,3.02,-14.95,-90,2,car,0.626,314.26,483.36,424.47,550.23,7370.9,1280,720
background,5,0.75,3.02,-14.95,-90,2,car,0.5695,70.08,531.17,256.21,642.41,20704.5,1280,720
background,6,0.9,3.02,-16.2,-90,2,car,0.8164,1.28,529.89,289.22,665.98,39186.1,1280,720
background,6,0.9,3.02,-16.2,-90,2,car,0.6229,284.13,485.91,417.56,558.99,9750.6,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.8126,0.23,538.83,253.68,695.51,39709.6,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.7715,255.33,486.64,406.02,567.88,12242.1,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.6092,372.41,465.9,451.33,519.11,4199.7,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.4862,553.44,450.06,591.25,477.8,1048.9,1280,720
background,8,1.2,3.02,-18.7,-90,2,car,0.7244,0.41,550.0,212.15,713.96,34715.8,1280,720
background,8,1.2,3.02,-18.7,-90,2,car,0.6404,216.54,490.84,385.01,577.16,14542.5,1280,720
background,8,1.2,3.02,-18.7,-90,2,car,0.4966,550.81,448.7,588.26,477.67,1085.0,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.7966,179.31,494.12,368.6,586.97,17575.7,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.5453,0.05,561.78,162.61,693.03,21336.6,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.4978,547.08,447.98,587.12,479.22,1250.6,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.4836,333.01,474.04,411.89,529.79,4397.7,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.4804,420.38,455.0,463.84,505.15,2179.0,1280,720
background,10,1.5,3.02,-21.2,-90,2,car,0.7334,124.47,497.3,353.24,604.97,24632.7,1280,720
background,10,1.5,3.02,-21.2,-90,2,car,0.5541,310.37,469.75,418.63,531.95,6734.1,1280,720
background,10,1.5,3.02,-21.2,-90,2,car,0.5306,543.79,448.01,585.81,478.88,1297.1,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.8793,74.56,500.74,316.26,619.53,28711.5,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.6217,282.03,472.68,401.68,542.3,8330.8,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.4985,540.14,443.98,585.1,480.5,1641.8,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.472,396.29,452.32,454.61,513.84,3587.8,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.4596,340.97,469.56,405.33,522.85,3429.2,1280,720
background,12,1.8,3.02,-23.7,-90,2,car,0.8609,0.36,506.81,285.87,645.7,39656.1,1280,720
background,12,1.8,3.02,-23.7,-90,2,car,0.6207,241.91,474.03,364.82,551.26,9493.0,1280,720
background,12,1.8,3.02,-23.7,-90,2,car,0.5715,537.55,443.38,582.79,481.84,1740.0,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.851,207.64,472.33,371.04,564.38,15040.6,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.8186,0.24,513.9,236.47,670.03,36884.4,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.6102,533.17,444.07,581.28,484.63,1951.2,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.5213,361.38,449.15,433.61,517.49,4936.5,1280,720
background,14,2.1,3.02,-26.2,-90,2,car,0.8321,173.2,474.8,349.79,574.85,17667.3,1280,720
background,14,2.1,3.02,-26.2,-90,2,car,0.6291,528.39,446.05,579.1,487.29,2091.8,1280,720
background,14,2.1,3.02,-26.2,-90,2,car,0.5055,347.71,453.81,429.28,523.02,5645.7,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.7841,127.48,479.18,327.74,588.68,21927.7,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.6479,526.16,445.59,577.16,488.53,2189.6,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.6063,324.51,453.3,406.87,530.29,6340.4,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.5134,0.66,534.91,136.91,655.52,16433.0,1280,720
background,16,2.4,3.02,-28.7,-90,2,car,0.7456,61.42,483.62,298.17,610.1,29946.5,1280,720
background,16,2.4,3.02,-28.7,-90,2,car,0.6098,221.17,478.84,302.42,561.13,6685.8,1280,720
background,16,2.4,3.02,-28.7,-90,2,car,0.5354,0.12,558.37,68.13,667.74,7438.4,1280,720
background,17,2.55,3.02,-29.95,-90,2,car,0.6563,512.84,440.65,571.98,490.84,2968.4,1280,720
background,18,2.7,3.02,-31.2,-90,2,car,0.6633,506.47,443.99,567.11,494.0,3033.2,1280,720
background,18,2.7,3.02,-31.2,-90,2,car,0.4693,0.21,499.13,143.51,650.78,21730.8,1280,720
background,19,2.85,3.02,-32.45,-90,2,car,0.7227,171.13,458.18,363.26,563.67,20268.3,1280,720
background,19,2.85,3.02,-32.45,-90,2,car,0.6843,499.32,451.75,564.28,496.95,2936.4,1280,720
background,19,2.85,3.02,-32.45,-90,2,car,0.5409,354.49,466.25,419.75,512.39,3011.2,1280,720
background,20,3.0,3.02,-33.7,-90,2,car,0.6757,492.66,453.1,558.52,499.03,3025.5,1280,720
background,20,3.0,3.02,-33.7,-90,2,car,0.4644,333.54,463.48,404.18,515.94,3706.2,1280,720
background,21,3.15,3.02,-34.95,-90,2,car,0.7789,50.36,458.9,318.24,593.61,36087.6,1280,720
background,21,3.15,3.02,-34.95,-90,2,car,0.5816,482.87,455.58,550.22,502.26,3144.1,1280,720
background,22,3.3,3.02,-36.2,-90,2,car,0.7486,0.01,456.59,287.82,614.75,45519.2,1280,720
background,22,3.3,3.02,-36.2,-90,2,car,0.7328,473.37,455.14,550.46,504.5,3804.9,1280,720
